ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20200722-NJ-CHI-108,20200722-NJ-CHI-441,9:54,10:14,Margaret Purce,NJ,1st half,64.6,4.7,1,Gina Loren Lewandowski,56.9,9.4,0
20200722-NJ-CHI-109,20200722-NJ-CHI-445,9:58,10:18,Gina Loren Lewandowski,NJ,1st half,63.3,11.1,0,Katie Johnson Carreon,70.2,11.7,0
20200722-NJ-CHI-110,20200722-NJ-CHI-452,10:01,10:21,Margaret Purce,NJ,1st half,67.7,3.5,1,Gina Loren Lewandowski,58.5,8.0,0
20200722-NJ-CHI-111,20200722-NJ-CHI-455,10:04,10:24,Gina Loren Lewandowski,NJ,1st half,59.0,8.5,1,McCall RaNae Zerboni,65.1,12.8,0
20200722-NJ-CHI-112,20200722-NJ-CHI-461,10:05,10:25,Danielle Colaprico,CHI,1st half,39.9,55.2,1,Rachel Hill,44.2,54.3,0
20200722-NJ-CHI-113,20200722-NJ-CHI-463,10:07,10:27,Rachel Hill,CHI,1st half,43.8,54.8,1,Katie Johnson Carreon,40.8,60.7,0
20200722-NJ-CHI-114,20200722-NJ-CHI-466,10:08,10:28,Katie Johnson Carreon,CHI,1st half,39.2,60.7,1,Vanessa Sue Di Bernardo,35.5,39.8,0
20200722-NJ-CHI-115,20200722-NJ-CHI-470,10:11,10:31,Vanessa Sue Di Bernardo,CHI,1st half,28.8,39.4,1,Bianca St. Georges,40.5,11.3,0
20200722-NJ-CHI-116,20200722-NJ-CHI-472,10:18,10:38,Bianca St. Georges,CHI,1st half,69.3,13.8,1,Rachel Hill,96.9,37.7,0
20200722-NJ-CHI-117,20200722-NJ-CHI-488,10:33,10:53,Bianca St. Georges,CHI,1st half,90.3,15.6,0,Erica Skroski,97.2,29.2,1
20200722-NJ-CHI-118,20200722-NJ-CHI-507,11:34,11:54,McCall RaNae Zerboni,NJ,1st half,54.7,38.5,1,Ifeoma Chukwufumnay Onumonu,61.0,39.4,0
20200722-NJ-CHI-119,20200722-NJ-CHI-515,11:37,11:57,Sarah Gorden,CHI,1st half,38.0,32.7,0,Kailen Mary Sheridan,82.2,44.7,0
20200722-NJ-CHI-120,20200722-NJ-CHI-520,11:42,12:02,Kailen Mary Sheridan,NJ,1st half,23.0,24.3,1,Erica Skroski,27.7,39.1,0
20200722-NJ-CHI-121,20200722-NJ-CHI-522,11:44,12:04,Erica Skroski,NJ,1st half,33.5,38.4,1,Sabrina Flores,40.4,56.1,0
20200722-NJ-CHI-122,20200722-NJ-CHI-526,11:48,12:08,Sabrina Flores,NJ,1st half,39.1,53.8,1,Jennifer Cudjoe,45.8,50.4,0
20200722-NJ-CHI-123,20200722-NJ-CHI-528,11:52,12:12,Jennifer Cudjoe,NJ,1st half,37.1,41.1,1,Erica Skroski,25.3,38.5,0
20200722-NJ-CHI-124,20200722-NJ-CHI-531,11:56,12:16,Erica Skroski,NJ,1st half,30.8,39.0,1,Sarah Christine Woldmoe,41.9,44.6,0
20200722-NJ-CHI-125,20200722-NJ-CHI-534,11:58,12:18,Sarah Christine Woldmoe,NJ,1st half,41.2,45.3,1,Sabrina Flores,27.5,52.0,0
20200722-NJ-CHI-126,20200722-NJ-CHI-538,12:00,12:20,Sabrina Flores,NJ,1st half,27.5,52.3,1,Nahomi Kawasumi,39.3,64.2,0
20200722-NJ-CHI-127,20200722-NJ-CHI-540,12:01,12:21,Nahomi Kawasumi,NJ,1st half,39.3,64.2,0,Bianca St. Georges,37.3,63.1,0
20200722-NJ-CHI-128,20200722-NJ-CHI-547,12:22,12:42,Sarah Christine Woldmoe,NJ,1st half,53.1,58.9,1,McCall RaNae Zerboni,57.9,55.8,0
20200722-NJ-CHI-129,20200722-NJ-CHI-553,12:26,12:46,Rachel Hill,CHI,1st half,49.7,15.7,0,Sarah Christine Woldmoe,47.7,13.7,0
20200722-NJ-CHI-130,20200722-NJ-CHI-560,12:29,12:49,Vanessa Sue Di Bernardo,CHI,1st half,39.6,15.7,0,Ifeoma Chukwufumnay Onumonu,30.7,21.1,0
20200722-NJ-CHI-131,20200722-NJ-CHI-563,12:30,12:50,Ifeoma Chukwufumnay Onumonu,NJ,1st half,74.3,46.9,1,McCall RaNae Zerboni,105.0,68.0,0
20200722-NJ-CHI-132,20200722-NJ-CHI-568,12:32,12:52,McCall RaNae Zerboni,NJ,1st half,69.8,66.2,0,Alyssa Naeher,99.5,30.5,0
20200722-NJ-CHI-133,20200722-NJ-CHI-571,12:49,13:09,Alyssa Naeher,CHI,1st half,5.5,37.5,1,Sarah Gorden,14.4,48.7,0
20200722-NJ-CHI-134,20200722-NJ-CHI-572,12:52,13:12,Sarah Gorden,CHI,1st half,14.4,48.7,1,Danielle Colaprico,20.8,47.9,0
20200722-NJ-CHI-135,20200722-NJ-CHI-573,12:55,13:15,Danielle Colaprico,CHI,1st half,20.8,47.9,1,Sarah Gorden,25.6,58.7,0
20200722-NJ-CHI-136,20200722-NJ-CHI-574,12:59,13:19,Sarah Gorden,CHI,1st half,25.6,58.7,1,Danielle Colaprico,26.1,48.6,0
20200722-NJ-CHI-137,20200722-NJ-CHI-575,13:04,13:24,Danielle Colaprico,CHI,1st half,26.1,48.6,1,Sarah Gorden,51.6,68.0,0
20200722-NJ-CHI-138,20200722-NJ-CHI-577,13:07,13:27,Sarah Gorden,CHI,1st half,36.6,54.7,0,Margaret Purce,49.7,67.7,0
20200722-NJ-CHI-139,20200722-NJ-CHI-580,13:23,13:43,Margaret Purce,NJ,1st half,55.3,0.3,1,Paige Monaghan,64.0,2.0,0
20200722-NJ-CHI-140,20200722-NJ-CHI-588,13:25,13:45,Katie Johnson Carreon,CHI,1st half,45.0,66.1,1,Danielle Colaprico,40.1,62.9,0
20200722-NJ-CHI-141,20200722-NJ-CHI-589,13:26,13:46,Danielle Colaprico,CHI,1st half,40.1,62.9,1,Rachel Hill,51.0,62.7,0
20200722-NJ-CHI-142,20200722-NJ-CHI-593,13:30,13:50,Rachel Hill,CHI,1st half,44.2,62.2,1,Danielle Colaprico,41.0,62.5,0
20200722-NJ-CHI-143,20200722-NJ-CHI-594,13:31,13:51,Danielle Colaprico,CHI,1st half,41.0,62.5,1,Katie Johnson Carreon,50.0,64.4,0
20200722-NJ-CHI-144,20200722-NJ-CHI-598,13:34,13:54,Katie Johnson Carreon,CHI,1st half,49.5,65.4,1,Danielle Colaprico,48.6,66.7,0
20200722-NJ-CHI-145,20200722-NJ-CHI-603,13:46,14:06,Zoey Goralski,CHI,1st half,49.3,66.5,1,Sarah Gorden,45.5,56.0,0
20200722-NJ-CHI-146,20200722-NJ-CHI-606,13:52,14:12,Sarah Gorden,CHI,1st half,48.8,52.1,1,Julie Beth Ertz,39.9,29.9,0
20200722-NJ-CHI-147,20200722-NJ-CHI-607,13:54,14:14,Julie Beth Ertz,CHI,1st half,39.9,29.9,1,Sarah Gorden,44.5,45.9,0
20200722-NJ-CHI-148,20200722-NJ-CHI-610,14:00,14:20,Sarah Gorden,CHI,1st half,53.7,52.6,1,Zoey Goralski,101.4,63.8,0
20200722-NJ-CHI-149,20200722-NJ-CHI-615,14:06,14:26,Zoey Goralski,CHI,1st half,102.3,55.6,0,Margaret Purce,99.6,52.6,0
