ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20200722-NJ-CHI-103,20200722-NJ-CHI-779,18:18,18:38,Margaret Purce,NJ,recovery,1st half,null,28.6,1.5
20200722-NJ-CHI-104,20200722-NJ-CHI-819,18:55,19:15,Margaret Purce,NJ,recovery,1st half,null,47.1,3.1
20200722-NJ-CHI-105,20200722-NJ-CHI-820,18:56,19:16,Vanessa Sue Di Bernardo,CHI,recovery,1st half,null,43.4,45.1
20200722-NJ-CHI-106,20200722-NJ-CHI-829,19:02,19:22,Bianca St. Georges,CHI,recovery,1st half,null,41.0,13.1
20200722-NJ-CHI-107,20200722-NJ-CHI-846,19:24,19:44,Sabrina Flores,NJ,challenge,1st half,0,24.6,62.4
20200722-NJ-CHI-108,20200722-NJ-CHI-847,19:24,19:44,Sabrina Flores,NJ,tackle,1st half,0,24.6,62.4
20200722-NJ-CHI-109,20200722-NJ-CHI-848,19:24,19:44,Kealia Mae Watt,CHI,take_on,1st half,1,80.4,5.6
20200722-NJ-CHI-110,20200722-NJ-CHI-854,19:30,19:50,Rachel Hill,CHI,challenge,1st half,1,84.7,16.1
20200722-NJ-CHI-111,20200722-NJ-CHI-855,19:30,19:50,Gina Loren Lewandowski,NJ,challenge,1st half,0,20.3,51.9
20200722-NJ-CHI-112,20200722-NJ-CHI-863,19:31,19:51,Margaret Purce,NJ,recovery,1st half,null,14.4,31.7
20200722-NJ-CHI-113,20200722-NJ-CHI-868,19:33,19:53,Sarah Gorden,CHI,recovery,1st half,null,58.8,40.4
20200722-NJ-CHI-114,20200722-NJ-CHI-900,20:07,20:27,Alyssa Naeher,CHI,recovery,1st half,null,4.6,17.3
20200722-NJ-CHI-115,20200722-NJ-CHI-931,20:53,21:13,Paige Monaghan,NJ,recovery,1st half,null,84.4,30.7
20200722-NJ-CHI-116,20200722-NJ-CHI-947,21:28,21:48,Rachel Hill,CHI,challenge,1st half,0,57.2,40.8
20200722-NJ-CHI-117,20200722-NJ-CHI-948,21:28,21:48,Sarah Christine Woldmoe,NJ,challenge,1st half,1,47.8,27.2
20200722-NJ-CHI-118,20200722-NJ-CHI-952,21:29,21:49,Zoey Goralski,CHI,recovery,1st half,null,45.4,60.0
20200722-NJ-CHI-119,20200722-NJ-CHI-997,22:09,22:29,Sarah Christine Woldmoe,NJ,recovery,1st half,null,75.5,43.0
20200722-NJ-CHI-120,20200722-NJ-CHI-1028,22:58,23:18,Sabrina Flores,NJ,recovery,1st half,null,26.9,49.1
20200722-NJ-CHI-121,20200722-NJ-CHI-1049,23:18,23:38,McCall RaNae Zerboni,NJ,challenge,1st half,0,57.7,61.3
20200722-NJ-CHI-122,20200722-NJ-CHI-1051,23:18,23:38,Vanessa Sue Di Bernardo,CHI,challenge,1st half,1,47.3,6.7
