ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20190719-POR-UTA-182,20190719-POR-UTA-1340,35:07,35:27,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,1,65.6,3.9
20190719-POR-UTA-183,20190719-POR-UTA-1341,35:07,35:27,Lindsey Michelle Horan,POR,challenge,1st half,0,39.4,64.1
20190719-POR-UTA-184,20190719-POR-UTA-1361,35:29,35:49,Elizabeth Rose Ball,POR,challenge,1st half,0,28.9,16.8
20190719-POR-UTA-185,20190719-POR-UTA-1362,35:29,35:49,Elizabeth Rose Ball,POR,tackle,1st half,0,28.9,16.8
20190719-POR-UTA-186,20190719-POR-UTA-1363,35:29,35:49,Christen Annemarie Press,UTA,take_on,1st half,1,76.1,51.2
20190719-POR-UTA-187,20190719-POR-UTA-1371,35:33,35:53,Adrianna Nichole Franch,POR,save,1st half,null,13.7,22.1
20190719-POR-UTA-188,20190719-POR-UTA-1378,36:04,36:24,Kate Elizabeth Bowen,UTA,dribble,1st half,1,38.0,3.9
20190719-POR-UTA-189,20190719-POR-UTA-1400,37:05,37:25,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,0,28.2,60.1
20190719-POR-UTA-190,20190719-POR-UTA-1402,37:05,37:25,Gunnhildur Yrsa Jonsdottir,UTA,tackle,1st half,0,28.2,60.1
20190719-POR-UTA-191,20190719-POR-UTA-1404,37:05,37:25,Ellie Madison Carpenter,POR,recovery,1st half,null,76.8,7.9
20190719-POR-UTA-192,20190719-POR-UTA-1405,37:05,37:25,Ellie Madison Carpenter,POR,take_on,1st half,1,76.8,7.9
20190719-POR-UTA-193,20190719-POR-UTA-1407,37:07,37:27,Amy Joy Rodriguez Shilling,UTA,foul,1st half,null,35.9,58.9
20190719-POR-UTA-194,20190719-POR-UTA-1421,37:45,38:05,Gabrielle Seiler,POR,challenge,1st half,1,80.3,28.8
20190719-POR-UTA-195,20190719-POR-UTA-1422,37:45,38:05,Desiree Rose Marie Scott,UTA,challenge,1st half,0,24.7,39.2
20190719-POR-UTA-196,20190719-POR-UTA-1425,37:45,38:05,Becky Sauerbrunn,UTA,recovery,1st half,null,15.9,33.7
20190719-POR-UTA-197,20190719-POR-UTA-1429,37:47,38:07,Lindsey Michelle Horan,POR,recovery,1st half,null,89.6,22.7
20190719-POR-UTA-198,20190719-POR-UTA-1431,37:48,38:08,Lindsey Michelle Horan,POR,dribble,1st half,1,91.0,19.3
20190719-POR-UTA-199,20190719-POR-UTA-1434,37:51,38:11,Lindsey Michelle Horan,POR,challenge,1st half,0,89.6,15.2
