ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20180915-RGN-POR-135,3:02,3:22,Jessica Anne Fishlock,RGN,Counter-attacks,1st half,68.0,44.3
20180915-RGN-POR-136,3:02,3:22,Megan Anna Rapinoe,RGN,Counter-attacks,1st half,75.2,51.7
20180915-RGN-POR-137,3:02,3:22,Jessica Anne Fishlock,RGN,Passes (inaccurate),1st half,68.0,44.3
20180915-RGN-POR-138,3:05,3:25,Ellie Madison Carpenter,POR,Interceptions,1st half,10.1,15.3
20180915-RGN-POR-139,3:05,3:25,Ellie Madison Carpenter,POR,Counter-attacks,1st half,10.1,15.3
20180915-RGN-POR-140,3:05,3:25,Ellie Madison Carpenter,POR,Counter-attacks,1st half,10.1,15.3
20180915-RGN-POR-141,3:14,3:34,Stephanie-Elise Catley,RGN,Passes accurate,1st half,97.9,68.0
20180915-RGN-POR-142,3:14,3:34,Stephanie-Elise Catley,RGN,Positional attacks,1st half,97.9,68.0
20180915-RGN-POR-143,3:15,3:35,Rumi Utsugi,RGN,Positional attacks,1st half,90.9,64.4
20180915-RGN-POR-144,3:15,3:35,Rumi Utsugi,RGN,Passes accurate,1st half,90.9,64.4
20180915-RGN-POR-145,3:16,3:36,Stephanie-Elise Catley,RGN,Positional attacks,1st half,97.7,66.8
20180915-RGN-POR-146,3:18,3:38,Margaret Purce,POR,Positional attacks,1st half,5.2,6.2
20180915-RGN-POR-147,3:18,3:38,Stephanie-Elise Catley,RGN,Crosses (inaccurate),1st half,99.8,61.8
20180915-RGN-POR-148,3:18,3:38,Stephanie-Elise Catley,RGN,Positional attacks,1st half,99.8,61.8
20180915-RGN-POR-149,3:46,4:06,Megan Anna Rapinoe,RGN,Corner attacks,1st half,105.0,68.0
20180915-RGN-POR-150,3:46,4:06,Megan Anna Rapinoe,RGN,Passes accurate,1st half,105.0,68.0
20180915-RGN-POR-151,3:46,4:06,Megan Anna Rapinoe,RGN,Passes into the penalty box,1st half,105.0,68.0
20180915-RGN-POR-152,3:47,4:07,Jasmyne Spencer,RGN,Corner attacks,1st half,103.3,48.4
20180915-RGN-POR-153,3:48,4:08,Jasmyne Spencer,RGN,Passes accurate,1st half,102.7,51.7
20180915-RGN-POR-154,3:48,4:08,Jasmyne Spencer,RGN,Corner attacks,1st half,102.7,51.7
20180915-RGN-POR-155,3:49,4:09,Megan Anna Rapinoe,RGN,Lost balls,1st half,98.5,60.1
20180915-RGN-POR-156,3:49,4:09,Megan Anna Rapinoe,RGN,Passes into the penalty box,1st half,98.5,60.1
20180915-RGN-POR-157,3:49,4:09,Megan Anna Rapinoe,RGN,Passes (inaccurate),1st half,98.5,60.1
20180915-RGN-POR-158,3:49,4:09,Megan Anna Rapinoe,RGN,Corner attacks,1st half,98.5,60.1
20180915-RGN-POR-159,3:49,4:09,Megan Anna Rapinoe,RGN,Corner attacks,1st half,98.5,60.1
20180915-RGN-POR-160,3:49,4:09,Megan Anna Rapinoe,RGN,Crosses (inaccurate),1st half,98.5,60.1
20180915-RGN-POR-161,3:49,4:09,Megan Anna Rapinoe,RGN,Corner attacks,1st half,98.5,60.1
20180915-RGN-POR-162,3:50,4:10,Lindsey Michelle Horan,POR,Interceptions,1st half,8.4,31.1
20180915-RGN-POR-163,3:50,4:10,Lindsey Michelle Horan,POR,Corner attacks,1st half,8.4,31.1
20180915-RGN-POR-164,3:54,4:14,Christine Margaret Sinclair,POR,Passes (inaccurate),1st half,12.0,62.7
20180915-RGN-POR-165,3:54,4:14,Christine Margaret Sinclair,POR,Lost balls (in opp. half),1st half,35.3,63.0
20180915-RGN-POR-166,3:54,4:14,Christine Margaret Sinclair,POR,Picking-ups,1st half,12.0,62.7
20180915-RGN-POR-167,3:54,4:14,Christine Margaret Sinclair,POR,Lost balls,1st half,35.3,63.0
20180915-RGN-POR-168,3:57,4:17,Lauren Kate Barnes,RGN,Interceptions,1st half,69.7,5.0
20180915-RGN-POR-169,3:57,4:17,Lauren Kate Barnes,RGN,Interceptions (in opp. half),1st half,69.7,5.0
20180915-RGN-POR-170,4:20,4:40,Adrianna Nichole Franch,POR,Positional attacks,1st half,5.0,37.4
20180915-RGN-POR-171,4:20,4:40,Adrianna Nichole Franch,POR,Goal kicks,1st half,5.0,37.4
20180915-RGN-POR-172,4:20,4:40,Adrianna Nichole Franch,POR,Passes accurate,1st half,5.0,37.4
20180915-RGN-POR-173,4:22,4:42,Lindsey Michelle Horan,POR,Positional attacks,1st half,51.9,57.2
20180915-RGN-POR-174,4:22,4:42,Alexandra Linsley Long Batista,RGN,Challenges (lost),1st half,53.1,10.8
20180915-RGN-POR-175,4:22,4:42,Lindsey Michelle Horan,POR,Challenges (won),1st half,51.9,57.2
20180915-RGN-POR-176,4:23,4:43,Alexandra Linsley Long Batista,RGN,Fouls,1st half,53.3,11.0
20180915-RGN-POR-177,4:23,4:43,Alexandra Linsley Long Batista,RGN,Positional attacks,1st half,53.3,11.0
20180915-RGN-POR-178,4:50,5:10,Emily Ann Sonnett,POR,Passes (inaccurate),1st half,48.9,50.5
