ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20180915-RGN-POR-169,20180915-RGN-POR-853,21:09,21:29,Megan Anna Rapinoe,RGN,1st half,100.6,62.5,1,Theresa Eslund,100.2,15.8,1
20180915-RGN-POR-170,20180915-RGN-POR-861,21:28,21:48,Theresa Eslund,RGN,1st half,91.6,0.0,1,Alexandra Linsley Long Batista,76.9,6.2,0
20180915-RGN-POR-171,20180915-RGN-POR-864,21:32,21:52,Alexandra Linsley Long Batista,RGN,1st half,72.4,10.1,1,Lauren Kate Barnes,56.1,31.6,0
20180915-RGN-POR-172,20180915-RGN-POR-867,21:35,21:55,Lauren Kate Barnes,RGN,1st half,56.1,34.2,1,Stephanie-Elise Catley,66.6,61.3,0
20180915-RGN-POR-173,20180915-RGN-POR-871,21:39,21:59,Stephanie-Elise Catley,RGN,1st half,72.9,61.1,0,Lindsey Michelle Horan,90.7,34.2,1
20180915-RGN-POR-174,20180915-RGN-POR-886,21:46,22:06,Celeste Anais Boureille,POR,1st half,19.7,22.0,1,Margaret Purce,27.5,6.5,0
20180915-RGN-POR-175,20180915-RGN-POR-902,21:54,22:14,Celeste Anais Boureille,POR,1st half,10.9,12.5,1,Ellie Madison Carpenter,5.9,9.6,0
20180915-RGN-POR-176,20180915-RGN-POR-904,21:56,22:16,Ellie Madison Carpenter,POR,1st half,5.9,9.6,0,Lauren Kate Barnes,38.2,4.8,0
20180915-RGN-POR-177,20180915-RGN-POR-909,21:59,22:19,Lauren Kate Barnes,RGN,1st half,67.0,66.3,0,Ellie Madison Carpenter,70.3,68.0,0
20180915-RGN-POR-178,20180915-RGN-POR-911,22:19,22:39,Ellie Madison Carpenter,POR,1st half,34.7,0.0,1,Christine Margaret Sinclair,62.6,8.6,0
20180915-RGN-POR-179,20180915-RGN-POR-914,22:19,22:39,Christine Margaret Sinclair,POR,1st half,54.8,6.5,0,Stephanie-Elise Catley,62.6,8.6,0
20180915-RGN-POR-180,20180915-RGN-POR-918,22:21,22:41,Stephanie-Elise Catley,RGN,1st half,42.8,59.4,1,Alexandra Linsley Long Batista,47.7,50.3,0
20180915-RGN-POR-181,20180915-RGN-POR-921,22:28,22:48,Alexandra Linsley Long Batista,RGN,1st half,47.5,32.6,1,Megan Leigh Oyster,37.0,10.5,0
20180915-RGN-POR-182,20180915-RGN-POR-924,22:32,22:52,Megan Leigh Oyster,RGN,1st half,44.5,11.3,1,Alexandra Linsley Long Batista,43.9,20.1,0
20180915-RGN-POR-183,20180915-RGN-POR-928,22:35,22:55,Alexandra Linsley Long Batista,RGN,1st half,41.6,25.6,1,Lauren Kate Barnes,40.3,47.4,0
20180915-RGN-POR-184,20180915-RGN-POR-932,22:42,23:02,Lauren Kate Barnes,RGN,1st half,61.1,55.5,1,Jodie Lee Taylor,92.2,47.4,0
20180915-RGN-POR-185,20180915-RGN-POR-934,22:44,23:04,Jodie Lee Taylor,RGN,1st half,92.2,47.4,1,Jessica Anne Fishlock,86.1,48.4,0
20180915-RGN-POR-186,20180915-RGN-POR-941,22:48,23:08,Celeste Anais Boureille,POR,1st half,25.6,24.2,0,Theresa Eslund,38.0,68.0,0
20180915-RGN-POR-187,20180915-RGN-POR-943,23:12,23:32,Theresa Eslund,RGN,1st half,67.0,0.0,1,Rumi Utsugi,71.8,8.1,0
20180915-RGN-POR-188,20180915-RGN-POR-944,23:13,23:33,Rumi Utsugi,RGN,1st half,71.8,8.1,1,Jasmyne Spencer,88.6,9.1,0
20180915-RGN-POR-189,20180915-RGN-POR-956,23:24,23:44,Meghan Elizabeth Klingenberg,POR,1st half,14.1,63.2,1,Caitlin Jade Foord,59.8,8.6,0
20180915-RGN-POR-190,20180915-RGN-POR-964,23:27,23:47,Alexandra Linsley Long Batista,RGN,1st half,63.0,9.1,0,Christine Margaret Sinclair,64.7,9.8,0
20180915-RGN-POR-191,20180915-RGN-POR-972,24:02,24:22,Ellie Madison Carpenter,POR,1st half,10.9,7.4,0,Stephanie-Elise Catley,27.7,0.0,0
20180915-RGN-POR-192,20180915-RGN-POR-973,24:22,24:42,Stephanie-Elise Catley,RGN,1st half,77.3,68.0,1,Megan Anna Rapinoe,84.8,61.8,0
20180915-RGN-POR-193,20180915-RGN-POR-976,24:23,24:43,Megan Anna Rapinoe,RGN,1st half,84.8,61.8,0,Celeste Anais Boureille,78.8,63.9,0
20180915-RGN-POR-194,20180915-RGN-POR-979,24:25,24:45,Stephanie-Elise Catley,RGN,1st half,75.6,64.2,1,Megan Anna Rapinoe,83.6,60.3,0
20180915-RGN-POR-195,20180915-RGN-POR-992,24:56,25:16,Megan Anna Rapinoe,RGN,1st half,105.0,68.0,0,Adrianna Nichole Franch,102.1,32.8,0
