,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
184,1060,27:51,28:11,219,OL Reign,recovery,1st half,101.6,28.0,null
185,1075,29:15,29:35,190,Portland Thorns,dribble,1st half,72.0,3.6,1
186,1076,29:15,29:35,190,Portland Thorns,recovery,1st half,72.0,3.6,null
187,1077,29:17,29:37,233,OL Reign,tackle,1st half,28.6,64.9,0
188,1078,29:17,29:37,190,Portland Thorns,take_on,1st half,76.4,3.1,1
189,1079,29:17,29:37,233,OL Reign,challenge,1st half,28.6,64.9,0
190,1092,29:22,29:42,72,OL Reign,dribble,1st half,22.5,46.0,1
191,1096,29:28,29:48,228,OL Reign,challenge,1st half,49.1,44.3,0
192,1098,29:28,29:48,94,Portland Thorns,challenge,1st half,55.9,23.7,1
193,1099,29:28,29:48,94,Portland Thorns,tackle,1st half,55.9,23.7,1
194,1100,29:28,29:48,228,OL Reign,Dribbles (Unsuccessful actions),1st half,49.1,44.3,null
195,1101,29:30,29:50,217,Portland Thorns,recovery,1st half,51.2,27.5,null
196,1104,29:30,29:50,72,OL Reign,challenge,1st half,53.8,40.5,0
197,1105,29:30,29:50,72,OL Reign,tackle,1st half,53.8,40.5,0
198,1106,29:30,29:50,217,Portland Thorns,take_on,1st half,51.2,27.5,1
199,1108,29:33,29:53,217,Portland Thorns,challenge,1st half,55.4,39.0,0
200,1109,29:33,29:53,219,OL Reign,challenge,1st half,49.6,29.0,1
201,1110,29:33,29:53,219,OL Reign,tackle,1st half,49.6,29.0,1
202,1112,29:35,29:55,172,OL Reign,recovery,1st half,38.0,24.7,null
203,1130,29:46,30:06,16,Portland Thorns,recovery,1st half,53.8,17.5,null
204,1133,29:48,30:08,31,OL Reign,challenge,1st half,33.6,59.1,1
205,1134,29:48,30:08,190,Portland Thorns,challenge,1st half,71.4,8.9,0
206,1135,29:48,30:08,31,OL Reign,tackle,1st half,33.6,59.1,1
207,1139,29:50,30:10,233,OL Reign,recovery,1st half,39.1,52.0,null
208,1143,29:53,30:13,72,OL Reign,take_on,1st half,48.5,49.6,1
209,1146,29:53,30:13,72,OL Reign,dribble,1st half,48.5,49.6,1
210,1147,29:53,30:13,16,Portland Thorns,challenge,1st half,56.5,18.4,0
211,1148,29:53,30:13,16,Portland Thorns,tackle,1st half,56.5,18.4,0
212,1152,29:59,30:19,192,OL Reign,dribble,1st half,96.8,55.5,1
213,1162,30:06,30:26,228,OL Reign,recovery,1st half,97.9,35.4,null
214,1163,30:07,30:27,228,OL Reign,challenge,1st half,96.4,35.9,0
215,1165,30:07,30:27,16,Portland Thorns,challenge,1st half,8.6,32.1,1
216,1166,30:07,30:27,16,Portland Thorns,tackle,1st half,8.6,32.1,1
217,1169,30:09,30:29,135,OL Reign,recovery,1st half,73.5,30.4,null
218,1173,30:12,30:32,75,Portland Thorns,save,1st half,26.9,41.9,null
219,1182,30:23,30:43,219,OL Reign,challenge,1st half,63.8,1.2,0
220,1183,30:23,30:43,89,Portland Thorns,tackle,1st half,41.2,66.8,1
221,1184,30:23,30:43,219,OL Reign,Dribbles (Unsuccessful actions),1st half,63.8,1.2,null
222,1185,30:23,30:43,89,Portland Thorns,challenge,1st half,41.2,66.8,1
223,1235,31:55,32:15,75,Portland Thorns,save,1st half,20.4,25.9,null
224,1241,31:55,32:15,228,OL Reign,recovery,1st half,84.6,42.1,null
225,1249,32:43,33:03,135,OL Reign,challenge,1st half,100.8,34.2,0
226,1250,32:43,33:03,94,Portland Thorns,challenge,1st half,4.2,33.8,1
227,1253,32:43,33:03,192,OL Reign,recovery,1st half,99.1,40.2,null
228,1259,32:47,33:07,89,Portland Thorns,recovery,1st half,4.6,48.4,null
229,1265,33:03,33:23,166,OL Reign,challenge,1st half,70.1,11.0,1
230,1266,33:03,33:23,213,Portland Thorns,challenge,1st half,34.9,57.0,0
231,1269,33:06,33:26,233,OL Reign,challenge,1st half,56.3,21.1,0
232,1270,33:06,33:26,213,Portland Thorns,challenge,1st half,48.7,46.9,1
233,1273,33:06,33:26,213,Portland Thorns,dribble,1st half,50.2,45.5,1
234,1296,33:31,33:51,135,OL Reign,challenge,1st half,5.9,39.0,0
235,1297,33:31,33:51,94,Portland Thorns,challenge,1st half,99.1,29.0,1
236,1302,34:06,34:26,94,Portland Thorns,challenge,1st half,55.7,17.7,1
237,1303,34:06,34:26,135,OL Reign,challenge,1st half,49.3,50.3,0
238,1308,34:07,34:27,30,Portland Thorns,recovery,1st half,49.8,11.7,null
239,1324,34:39,34:59,228,OL Reign,challenge,1st half,38.4,66.1,1
