,raw_event_ID,start_time,end_time,player_ID,team,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross,cross_blocked
508,1976,47:18,47:38,Samantha Mewis,North Carolina Courage,1st half,58.6,11.7,0,Casey Short,77.5,0.0,0,0
509,1978,47:32,47:52,Casey Short,Chicago Red Stars,1st half,27.5,68.0,1,Yuki Ogimi-Nagasato,40.7,64.4,0,0
510,1980,47:34,47:54,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,39.7,62.7,1,Morgan Gautrat,31.9,57.2,0,0
511,1984,47:37,47:57,Morgan Gautrat,Chicago Red Stars,1st half,27.5,53.4,1,Sarah Gorden,40.1,9.1,0,0
512,1986,47:41,48:01,Sarah Gorden,Chicago Red Stars,1st half,40.1,9.1,1,Savannah McCaskill,65.3,1.0,0,0
513,1988,47:44,48:04,Savannah McCaskill,Chicago Red Stars,1st half,65.3,1.0,0,Abby May Erceg,96.4,8.1,0,0
514,1990,47:49,48:09,Abby May Erceg,North Carolina Courage,1st half,8.6,59.9,1,Stephanie Labbe,7.8,47.4,0,0
515,1993,47:51,48:11,Stephanie Labbe,North Carolina Courage,1st half,7.8,47.4,0,Savannah McCaskill,29.2,58.9,0,0
516,1999,47:54,48:14,Savannah McCaskill,Chicago Red Stars,1st half,72.7,12.9,1,Sarah Gorden,85.7,7.7,0,0
517,2002,47:56,48:16,Sarah Gorden,Chicago Red Stars,1st half,87.2,8.9,0,Abby May Erceg,91.3,22.3,0,0
518,2007,47:58,48:18,Samantha Mewis,North Carolina Courage,1st half,17.8,34.7,0,Danielle Colaprico,35.1,46.0,0,0
519,2013,48:00,48:20,Danielle Colaprico,Chicago Red Stars,1st half,69.9,22.0,1,Morgan Gautrat,76.4,37.4,0,0
520,2022,48:28,48:48,Stephanie Labbe,North Carolina Courage,1st half,5.5,35.9,1,Samantha Mewis,19.5,34.5,0,0
521,2025,48:33,48:53,Samantha Mewis,North Carolina Courage,1st half,23.1,29.7,1,Abby Dahlkemper,21.2,20.1,0,0
522,2027,48:36,48:56,Abby Dahlkemper,North Carolina Courage,1st half,21.0,17.5,1,Stephanie Labbe,14.3,33.5,0,0
523,2030,48:39,48:59,Stephanie Labbe,North Carolina Courage,1st half,13.0,35.4,1,Abby May Erceg,26.5,52.2,0,0
524,2034,48:43,49:03,Abby May Erceg,North Carolina Courage,1st half,24.6,46.7,1,Abby Dahlkemper,33.2,24.7,0,0
525,2036,48:46,49:06,Abby Dahlkemper,North Carolina Courage,1st half,31.3,26.3,1,Stephanie Labbe,16.8,34.0,0,0
526,2040,48:52,49:12,Stephanie Labbe,North Carolina Courage,1st half,20.2,35.7,1,Abby May Erceg,23.1,49.6,0,0
527,2042,48:54,49:14,Abby May Erceg,North Carolina Courage,1st half,23.1,49.6,1,Stephanie Labbe,15.1,34.2,0,0
528,2045,48:58,49:18,Stephanie Labbe,North Carolina Courage,1st half,14.3,34.5,1,Abby Dahlkemper,25.2,9.8,0,0
529,2047,49:01,49:51,Debinha,North Carolina Courage,1st half,98.7,20.4,1,Crystal Alyssia Dunn,97.9,25.4,0,0
530,2048,49:02,49:22,Abby Dahlkemper,North Carolina Courage,1st half,30.0,8.9,1,Jessica Marie McDonald,59.0,6.2,0,0
531,2051,49:04,49:24,Jessica Marie McDonald,North Carolina Courage,1st half,59.0,6.2,1,Debinha,55.9,3.1,0,0
532,2060,49:09,49:29,Debinha,North Carolina Courage,1st half,68.0,3.1,1,Samantha Mewis,71.6,10.5,0,0
533,2064,49:13,49:33,Samantha Mewis,North Carolina Courage,1st half,79.6,16.0,1,Debinha,97.7,16.3,0,0
534,2090,50:19,50:39,Casey Short,Chicago Red Stars,1st half,67.4,56.0,1,Yuki Ogimi-Nagasato,75.4,60.1,0,0
