,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
328,2770,62:28,62:48,Jessica Marie McDonald,North Carolina Courage,challenge,2nd half,7.3,34.2,1
329,2776,62:30,62:50,Debinha,North Carolina Courage,recovery,2nd half,11.8,34.5,null
330,2802,63:15,63:35,Samantha Kerr,Chicago Red Stars,challenge,2nd half,55.4,35.0,0
331,2803,63:15,63:35,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,49.6,33.0,1
332,2809,63:21,63:41,Lynn Williams,North Carolina Courage,challenge,2nd half,77.7,45.0,1
333,2810,63:21,63:41,Julie Beth Ertz,Chicago Red Stars,challenge,2nd half,27.3,23.0,0
334,2815,63:23,63:43,Samantha Mewis,North Carolina Courage,dribble,2nd half,60.3,50.3,1
335,2827,63:32,63:52,Danielle Colaprico,Chicago Red Stars,recovery,2nd half,11.1,32.8,null
336,2829,63:37,63:57,Jaelene Mckenzie Daniels,North Carolina Courage,recovery,2nd half,56.9,61.3,null
337,2857,63:59,64:19,Vanessa Sue Di Bernardo,Chicago Red Stars,recovery,2nd half,77.7,34.5,null
338,2860,64:00,64:20,McCall RaNae Zerboni,North Carolina Courage,tackle,2nd half,27.9,31.6,0
339,2861,64:00,64:20,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,27.9,31.6,0
340,2863,64:00,64:20,Vanessa Sue Di Bernardo,Chicago Red Stars,take_on,2nd half,77.1,36.4,1
341,2865,64:01,64:21,McCall RaNae Zerboni,North Carolina Courage,foul,2nd half,29.4,32.3,null
342,2874,64:57,65:17,Kathleen Camille Naughton,Chicago Red Stars,challenge,2nd half,93.4,33.0,0
343,2875,64:57,65:17,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,11.6,35.0,1
344,2878,64:58,65:18,Kathleen Camille Naughton,Chicago Red Stars,foul,2nd half,91.6,32.1,null
345,2883,66:00,66:20,Lynn Williams,North Carolina Courage,challenge,2nd half,60.5,56.7,0
346,2884,66:00,66:20,Sarah Gorden,Chicago Red Stars,challenge,2nd half,44.5,11.3,1
347,2896,66:18,66:38,Morgan Gautrat,Chicago Red Stars,challenge,2nd half,59.6,10.5,0
348,2898,66:18,66:38,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,45.4,57.5,1
349,2899,66:18,66:38,Denise O'Sullivan,North Carolina Courage,tackle,2nd half,45.4,57.5,1
350,2900,66:18,66:38,Morgan Gautrat,Chicago Red Stars,Dribbles (Unsuccessful actions),2nd half,59.6,10.5,null
351,2907,66:21,66:41,Debinha,North Carolina Courage,dribble,2nd half,58.8,49.8,1
352,2908,66:23,66:43,Debinha,North Carolina Courage,challenge,2nd half,67.6,46.2,0
353,2910,66:23,66:43,Julie Beth Ertz,Chicago Red Stars,challenge,2nd half,37.4,21.8,1
354,2911,66:25,66:45,Lynn Williams,North Carolina Courage,challenge,2nd half,69.5,33.0,1
355,2912,66:25,66:45,Julie Beth Ertz,Chicago Red Stars,challenge,2nd half,35.5,35.0,0
356,2915,66:25,66:45,Debinha,North Carolina Courage,recovery,2nd half,70.1,29.2,null
357,2917,66:28,66:48,Julie Beth Ertz,Chicago Red Stars,challenge,2nd half,29.2,42.6,0
358,2918,66:28,66:48,Julie Beth Ertz,Chicago Red Stars,tackle,2nd half,29.2,42.6,0
359,2920,66:28,66:48,Debinha,North Carolina Courage,take_on,2nd half,75.8,25.4,1
360,2922,66:28,66:48,Julie Beth Ertz,Chicago Red Stars,foul,2nd half,31.9,39.5,null
361,2932,67:44,68:04,Debinha,North Carolina Courage,challenge,2nd half,87.4,23.5,0
362,2933,67:44,68:04,Vanessa Sue Di Bernardo,Chicago Red Stars,challenge,2nd half,17.6,44.5,1
363,2935,67:46,68:06,Yuki Ogimi-Nagasato,Chicago Red Stars,challenge,2nd half,26.7,55.1,0
364,2936,67:46,68:06,Lynn Williams,North Carolina Courage,challenge,2nd half,78.3,12.9,1
365,2937,67:48,68:08,Yuki Ogimi-Nagasato,Chicago Red Stars,challenge,2nd half,34.2,58.4,0
366,2938,67:48,68:08,Yuki Ogimi-Nagasato,Chicago Red Stars,tackle,2nd half,34.2,58.4,0
367,2940,67:48,68:08,Lynn Williams,North Carolina Courage,take_on,2nd half,70.8,9.6,1
368,2964,68:38,68:58,Samantha Mewis,North Carolina Courage,challenge,2nd half,99.5,41.4,0
369,2965,68:38,68:58,Kathleen Camille Naughton,Chicago Red Stars,challenge,2nd half,5.5,26.6,1
370,2966,68:41,69:01,Katie Johnson Carreon,Chicago Red Stars,challenge,2nd half,22.5,15.8,0
371,2967,68:41,69:01,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,82.5,52.2,1
372,2991,69:22,69:42,Jaelene Mckenzie Daniels,North Carolina Courage,recovery,2nd half,88.6,63.2,null
373,3007,70:04,70:24,Denise O'Sullivan,North Carolina Courage,recovery,2nd half,71.4,55.8,null
374,3018,70:16,70:36,Samantha Kerr,Chicago Red Stars,challenge,2nd half,34.7,30.2,0
375,3019,70:16,70:36,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,70.3,37.8,1
376,3025,70:19,70:39,Abby Dahlkemper,North Carolina Courage,recovery,2nd half,57.5,43.1,null
377,3053,70:49,71:09,Sarah Gorden,Chicago Red Stars,recovery,2nd half,7.8,8.1,null
378,3078,71:22,71:42,McCall RaNae Zerboni,North Carolina Courage,dribble,2nd half,68.2,15.1,1
379,3083,71:30,71:50,Heather Ann OReilly,North Carolina Courage,dribble,2nd half,85.9,2.6,1
380,3124,71:58,72:18,Morgan Gautrat,Chicago Red Stars,recovery,2nd half,31.9,38.1,null
381,3161,72:26,72:46,Heather Ann OReilly,North Carolina Courage,recovery,2nd half,8.0,22.0,null
382,3173,72:37,72:57,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,1.9,3.8,0
383,3175,72:37,72:57,Vanessa Sue Di Bernardo,Chicago Red Stars,challenge,2nd half,103.1,64.2,1
384,3177,72:38,72:58,McCall RaNae Zerboni,North Carolina Courage,foul,2nd half,4.8,4.5,null
385,3203,75:10,75:30,Sarah Gorden,Chicago Red Stars,challenge,2nd half,91.6,4.1,0
386,3205,75:10,75:30,Jaelene Mckenzie Daniels,North Carolina Courage,challenge,2nd half,13.4,63.9,1
387,3206,75:10,75:30,Jaelene Mckenzie Daniels,North Carolina Courage,tackle,2nd half,13.4,63.9,1
388,3214,75:45,76:05,Samantha Mewis,North Carolina Courage,challenge,2nd half,7.6,28.7,1
389,3215,75:45,76:05,Kathleen Camille Naughton,Chicago Red Stars,challenge,2nd half,97.4,39.3,0
390,3218,75:48,76:08,Debinha,North Carolina Courage,dribble,2nd half,24.6,10.8,1
391,3220,75:48,76:08,Debinha,North Carolina Courage,recovery,2nd half,24.6,10.8,null
392,3234,76:02,76:22,Lynn Williams,North Carolina Courage,dribble,2nd half,80.0,50.5,1
393,3240,76:05,76:25,Alyssa Naeher,Chicago Red Stars,save,2nd half,10.9,21.3,null
394,3243,76:07,76:27,Kristen Hamilton,North Carolina Courage,recovery,2nd half,87.2,42.4,null
395,3265,79:38,79:58,Katie Johnson Carreon,Chicago Red Stars,challenge,2nd half,58.2,17.2,0
396,3266,79:38,79:58,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,46.8,50.8,1
397,3271,79:39,79:59,Jaelene Mckenzie Daniels,North Carolina Courage,recovery,2nd half,41.4,56.7,null
398,3290,79:53,80:13,Sarah Gorden,Chicago Red Stars,recovery,2nd half,56.1,4.8,null
399,3297,79:57,80:17,Jaelene Mckenzie Daniels,North Carolina Courage,challenge,2nd half,36.1,58.4,1
400,3298,79:57,80:17,Katie Johnson Carreon,Chicago Red Stars,challenge,2nd half,68.9,9.6,0
401,3299,79:57,80:17,Jaelene Mckenzie Daniels,North Carolina Courage,tackle,2nd half,36.1,58.4,1
402,3302,79:58,80:18,Denise O'Sullivan,North Carolina Courage,recovery,2nd half,40.7,59.6,null
403,3308,80:01,80:21,Samantha Mewis,North Carolina Courage,dribble,2nd half,49.1,51.5,1
404,3315,80:10,80:30,Nicole Leslie Stanton,Chicago Red Stars,tackle,2nd half,21.4,2.6,1
405,3316,80:10,80:30,Kristen Hamilton,North Carolina Courage,challenge,2nd half,83.6,65.4,0
406,3317,80:10,80:30,Nicole Leslie Stanton,Chicago Red Stars,challenge,2nd half,21.4,2.6,1
407,3326,80:18,80:38,Morgan Gautrat,Chicago Red Stars,dribble,2nd half,33.8,27.1,1
408,3348,80:35,80:55,McCall RaNae Zerboni,North Carolina Courage,dribble,2nd half,68.7,14.8,1
409,3363,81:10,81:30,Samantha Mewis,North Carolina Courage,challenge,2nd half,49.6,33.8,1
410,3364,81:10,81:30,Samantha Kerr,Chicago Red Stars,challenge,2nd half,55.4,34.2,0
411,3376,81:45,82:05,Yuki Ogimi-Nagasato,Chicago Red Stars,challenge,2nd half,10.7,61.3,0
412,3377,81:45,82:05,Yuki Ogimi-Nagasato,Chicago Red Stars,tackle,2nd half,10.7,61.3,0
413,3379,81:45,82:05,Lynn Williams,North Carolina Courage,take_on,2nd half,94.3,6.7,1
414,3390,81:49,82:09,Julie Beth Ertz,Chicago Red Stars,recovery,2nd half,7.6,34.0,null
415,3397,82:13,82:33,Yuki Ogimi-Nagasato,Chicago Red Stars,tackle,2nd half,6.1,66.1,0
416,3398,82:13,82:33,Heather Ann OReilly,North Carolina Courage,take_on,2nd half,98.9,1.9,1
